Species,domesticated,allocare_binay,adult_mass_combined,Litter_nmass,Litter_wmass,maternal_mass,Adult_mass,Litter_size,Neonatal_mass,Reproductive_years,Gestation_duration,Wean_mass,Wean_age,Litters/year,IBIs,Allonursing,Provisioning_Male,Provisioning_others,Provisioning mothers,Energy_input (Isler Van Schaik),Provisioning_Male (Stockley & Hobson),Energy_input_binary,"Commul nesting, babysitting, retrieval",Carrying_Male,Carrying_others,Care_input (Isler & Van Schaik),MaleCare (Stockley & Hobson),Care_Input_binary,Protection,Protection_binary,notes
Scotinomys_xerampelinus,0,NA,15,,,NA,15,3.03,1.35,NA,32.7,NA,23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sekeetamys_calurus,0,NA,38.5,,,NA,38.5,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Semnopithecus_entellus,0,0,12679.29,,,12679.29,11253.33,1.08,499.915,21.6133333333333,189,2100,344.4,0.67,507.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
Semnopithecus_hypoleucos,0,1,10130,,,10130,NA,NA,NA,NA,212,NA,759.4,NA,NA,0.1,0,0,NA,0.1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,
Setifer_setosus,0,0,234,,,234,259.45,3.04,24.85,11.8016666666667,55.35,NA,22.5,1,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,
Setonix_brachyurus,0,0,3027.67,,,3027.67,NA,1,0.36,NA,NA,499.99,NA,1.4,345,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,NA,
Sicista_betuli,0,0,8,,,NA,8,4.86,NA,2.36583333333333,29.1,NA,37.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,
Sicista_paea,0,0,NA,,,NA,NA,3.5,NA,NA,20.7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,
Sigmoceros_lichtensteinii,0,0,153000,,,NA,153000,1,15000,NA,232.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,
Sigmodon_alstoni,0,0,55.7,,,NA,55.7,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,
